track,title,abstract,authors,type,doi-num,doi-address,video-link,supplemental-link
ACM SRC,ACM Student Research Competition - Poster Session,,Stephen Hughes; Stan Kurkovsky,Session,,,,
ACM SRC,SRC #1: A Modular Ethics Curriculum for Computer Science,"<p>To address the challenging issues presented to a technology-driven generation, we have been designing and testing 15-20 minute modules with conversations surrounding ethical issues in computing and data science. The goal is to meet the needs of current students by incorporating engaging activities, including demonstrations, debates, and interactive quizzes, to maintain their interest and promote critical thinking. The short length of the modules allows them to fit with packed courses and short attention spans. The curriculum is designed to lay the groundwork in the first year, giving a basic understanding of four ethical frameworks. In years two through four, students gain practice in recognizing course material-related dilemmas and in applying these frameworks to find ethical solutions. Additionally, we are developing comprehensive background materials so that professors with limited experience in ethics can easily implement the modules in their classrooms, and students who do not experience the foundational modules will not feel lost. Through workshops, focus groups, and in-class testing of the materials, teachers and students have shown excitement and support for the curriculum, and students not typically engaged in class have found their voice. Verbal and written feedback have shown that the module activities have been successful in helping students evaluate the ethicality of challenging computing-related situations and in effectively articulating their conclusions. To date, twelve modules have been tested, modified, and in some cases re-tested. We are looking forward to sharing our results. Many of the materials created will be available for examination.</p>",Whitney Featherston; Morgan Wheeler,Sub,10.1145/3328778.3372690,https://doi.org/10.1145/3328778.3372690,,
ACM SRC,SRC #2: Regenerator Placement in Survivable Optical Networks Using Deep Tensor Neural Network,"<p>With the rapid adoption of the Internet of Things and mobile devices, the global Internet traffic is estimated to increase by nearly three times from 2017 to 2022. Hence, the demand for higher bit rates is necessary to support massive data transfers over optical networks. Ideally, a network that is able to handle many long distance requests at high transmission speeds is preferable. However, given limited spectrum resources, a trade-off is inevitable when selecting the correct routing parameters. On the one hand, we can minimize the usage of resources using spectrally efficient modulation formats. As a result the effective transmission distance of the signal will be reduced. Similarly, if we are to use a low-level modulation format, we can increase the effective range of transmission, but the amount of the used spectrum will also increase. It is in these scenarios where the importance of regenerators become apparent. When the link distance between two nodes is too large, a regenerator is required to regenerate the signal strength. However, regenerators are expensive to install. Additionally, given that the regenerator number needs to be set during the design of the network architecture, efficient calculation of their allocation is required to reduce each node's limitations, thus optimizing the network CAPEX and OPEX. In this paper, we demonstrated the feasibility of using deep tensor neural network to optimize regenerator placement in optical networks. Our approach brings significant improvements over the results achieved by the currently deploying techniques and can be used in the real-life networks.</p>",Derek Wong; Shaun Tseng; Hally Mao; Michal Aibin,Sub,10.1145/3328778.3372691,https://doi.org/10.1145/3328778.3372691,,
ACM SRC,SRC #3: The AP Computer Science Principles Exam: Teacher Reflections,"<p>While AP Computer Science Principles (CSP) has made great strides in increasing the number of women and underrepresented minorities (URM) taking an AP Computer Science course, the percentage of women and URM passing the AP CSP Exam remains lower than that of non-minority males. The AP CSP Exam consists of two performance-based tasks, create and explore, in addition to a multiple-choice section. We conducted one-on-one interviews with Beauty and Joy of Computing (BJC) Master Teachers to find what they like about the exam, what they do not like, and potential barriers to passing. The teachers mentioned preparedness, including test taking skills, and motivation, specifically to complete the tasks, as reasons for their students' performance on the AP Exam. Community mindset was mentioned as a possible reason for lack of motivation and engagement. Some potential barriers to passing, expressed by teachers, are access to technology, job obligations, and languages in which the AP Exam is offered. Although the create task was well liked by the teachers, some thought the scoring could be improved. In addition, teachers detail how their own assessments compare to the AP CSP Exam, with the majority using programming projects as their main way to assess for student understanding. Half of the teachers cited the amount of time for performance tasks and multiple-choice questions as components of the exam they would change. These findings provide insight into AP CSP Exam performance, teacher suggestions for exam improvements, and details on CS classroom assessments.</p>",Hannah Chipman; Marnie Hill; Tiffany Barnes,Sub,10.1145/3328778.3372698,https://doi.org/10.1145/3328778.3372698,,
ACM SRC,SRC #4: Increasing Understanding of Students' Programming Process through Scratch Programming Event Data Analysis,"<p>Computational thinking (CT) is a problem solving approach that is becoming prominent in educational settings. To help ease students into the world of programming, visual programming tools such as Scratch are used. Researchers are also developing various tools in an attempt to assess students' proficiency in thought processes that make up CT. However, current existing tools mainly utilize students' final code products when evaluating their demonstration of CT, losing their opportunity to understand students' actual learning and programming procedures.</p><p>This work presents a logging methodology that records programming actions of students in the Scratch block coding environment to enable an in-depth analysis of students' programming process. With this logging methodology, we conducted a case study with introductory programmers to study how the logs of students' programming processes can provide insight into how they practice CT during programming.</p>",Minji Kong,Sub,10.1145/3328778.3372699,https://doi.org/10.1145/3328778.3372699,,
ACM SRC,SRC #6: Exploring the Impact of Exposing CS Majors to Programming Concepts using IDE Programming vs. non-IDE Programming in the Classroom,"<p>Due to the increased demand for computer scientists in the, the importance to improve the retention rate of CS majors who could potentially fill such positions has been ongoing. Literature has produced many efforts for increasing the engagement of CS majors in the field while also exploring ways to improve their ability to develop the ideal skill sets for success. In such efforts, our research explores the impact of visual and/or command-line based programming editors and their ability to shape the students' mental model as they learn to program. This abstract discusses a ""think-aloud"" protocol assessment that was conducted on two entry level programming courses at a university in the United States during the 2018-2019 school year. The objective of this assessment was to determine whether Repl.IT, a web-based IDE, and Cygwin/Nano Editor, a command line-based tool, impacted student performance while being used for programming. Our preliminary results showed that 41% of the students using Repl.IT completed the assigned task for the assessment, while 53% of the students using the Cygwin/Nano editor did the same. The results concerning assignment incompletion revealed that students who did not complete their assignment and used Repl.IT did so because of assignment complexity and programming language difficulty, whereas assignment complexity and tool usage difficulty lead to assignment incompletion for students using Cygwin/Nano. This assessment also revealed that Repl.IT students exhibited a higher comfort, confidence, and fondness for using their editor than the Cygwin/Nano students.</p>",Sarah Cooper; Ben Clinkscale; Briana Williams; Myles Lewis,Sub,10.1145/3328778.3372701,https://doi.org/10.1145/3328778.3372701,,
ACM SRC,SRC #7: Using Parsons Problems to Scaffold Metacognitive Awareness,"<p>After novice programmers learn to code, they ideally move directly through a six-stage programming problem-solving process when programming. However, they are usually unaware of this process and often skip stages in the problem-solving process or move through these stages in a sub-optimal order. Avoiding those errors requires a metacognitive awareness of their problem-solving process, which novices often lack. This paper reports on the results of an intervention, which utilizes a Parsons Problem, designed to determine if implicit guidance up through the solution search stage of the problem-solving process will lead to better outcomes for the students as they build a metacognitive scaffolding to support their problem-solving process.</p>",John Marsden,Sub,10.1145/3328778.3372702,https://doi.org/10.1145/3328778.3372702,,
ACM SRC,SRC #8: Exploring the Use of Coding Reviews in Early Programming Courses to Gauge Student Learning,"<p>Programming is a skill that many individuals in tech-related fields have to develop. It is an essential component to all Computer Science (CS) majors' development and learning. Literature show that there is a consistent percentage of CS majors that become stuck and discouraged while learning to program, which sometimes deter them from the major as a whole. Coding reviews are one potential practice that could combat this learning barrier. This practice is common in industry settings and is used by professionals to solve major computational problems. Likewise, in the classroom, coding review practices could be used to help students identify both syntax and semantic flaws, and related code defects of developed solutions. Literature also show that modest attention has been placed on the exploration of coding reviews in early stages of a CS course curriculum. Therefore, more attention could be given to this particular topic. To personally explore this topic in more detail, we analyzed the outcomes from coding review assessments that were conducted on two programming courses at a Mid-Atlantic University in the United States during the 2018-2019 school year. These assessments were embedded into the periodical exams administered in these two courses that taught either Python or C++ programming concepts. The data structures imposed for these reviews ranged from simple function usage to advanced class & object-oriented programming paradigms. The results revealed that students in these respective courses on average were able to analyze the behavior of the code effectively for most of the employed data structures.</p>",Joshua Olumese; Chauncey Rogers; Donald Conteh; Morgan Whitaker,Sub,10.1145/3328778.3372703,https://doi.org/10.1145/3328778.3372703,,
ACM SRC,SRC #9: Automatically Merging Evolving Goal Models,"<p>Goal models helped stakeholders make trade-off decisions in the early stages of project development. While these models were well studied within the academy they had yet to see broad industrial adoption, with the construction of large realistic goal models acting as a significant barrier. Recent work suggested creating models piecemeal, and then merging them together. This merge algorithm had only been demonstrated manually and was time consuming due to unnecessary repetition, as well as deferring all decisions to the user. We aimed to automate the majority of the merge algorithm. We divided this project into two parts: (1) merging the content of goal models, and (2) creating a visual representation of the merged model. Since this work extended prior work on evolving goal models we also considered merging timing information. Using a motivating example, we discussed how we handled conflicts between node names and types, as will as conflicts across multiple time scales. We improved the original algorithm by simplifying evolving functions described over multiple intervals, where possible, and proved the correctness of these changes. We extended a force-directed algorithm to include goal model heuristics to alter the relative position of node types, which made for an aesthetically pleasing layout. To demonstrate effectiveness and scalability of the algorithm, we implemented our automated algorithm in BloomingLeaf, an analysis and modeling tool that allows stakeholders to model goals and intentions.</p>",Yilin (Lucy) Wang,Sub,10.1145/3328778.3372705,https://doi.org/10.1145/3328778.3372705,,
ACM SRC,SRC #10: What are We Asking our Students?,"<p>Many CS education research papers pull data from student surveys. But are those surveys well designed? Are the questions used validated? Are the results comparable across studies? What exactly are we asking our students? In this work, we performed a systematic literature review of the past 15 years of papers in the three main conferences sponsored by the ACM Special Interest Group on Computer Science Education. Out of 1313 papers analyzed, 44 papers referred to general questions applicable to many or all computer science students. Our analysis showed that many papers were using surveys to extract similar types of information, such as demographics, prior experience or motivation to study computer science. However, the questions were being asked in different ways, using different scales, thus making it difficult or impossible to compare survey results between studies. We further found that while some studies based their questions on well-validated surveys, or shared their questions for possible later validation, approximately half of the papers retrieved neither validated their questions nor shared them to allow for post-hoc validation.</p>",Angela M Zavaleta Bernuy,Sub,10.1145/3328778.3372706,https://doi.org/10.1145/3328778.3372706,,https://drive.google.com/open?id=1-n0eYFL-pBvMHBtyORFY9GE5e3bDza8h
