track,title,abstract,authors,type,doi-num,doi-address,video-link,supplemental-link
Birds of a Feather,Birds of a Feather Flock A,,Mary Anne Egan; Dale-Marie Wilson,Session,,,,
Birds of a Feather,BOF #1A: Pedagogy and Classroom: How Can I Do This in That Space or Does it Even Matter?,"<p>The classrooms used by Computer Science students come in all shapes and sizes, from large lecture halls to small computer labs to collaborative active learning classrooms. Does our teaching style need to match the space? Are particular classroom environments more effective than others and might the types of artifacts generated by Computer Science students lend themselves better to one space over the other? As many students come to class with their own personal computer, development environment and opinions about effective instruction, does the classroom and supporting technology even matter? What effect does the space have on the instructional choices made? 
 
 This BOF will provide a platform for a discussion around individual teaching styles and preferences and how they relate to the classroom space. Access and awareness of active learning pedagogy and active learning classrooms can create both tension (e.g., not wanting to teach in an active learning classroom) and challenges (e.g., desire to have access to an active learning classroom despite the costs associated, how working specific techniques into a given space). Shared experiences will help participants better leverage their classroom spaces to their desired pedagogy.
 </p>",Jesse Eickholt; Patrick Seeling,Sub,10.1145/3328778.3372525,https://doi.org/10.1145/3328778.3372525,,
Birds of a Feather,BOF #2A: Incorporating Parallel Computing in the Undergraduate Computer Science Curriculum,"<p>Teaching parallel and distributed computing (PDC) concepts is an ongoing and pressing concern for many undergraduate educators. The ACM/IEEE CS Joint Task Force on Computing Curricula (CS2013) recommends 15 hours of PDC education in the undergraduate curriculum. Most recently, the 2019 ABET Criteria for Accrediting Computer Science requires coverage of PDC topics. For faculty who are unfamiliar with PDC, the prospect of incorporating parallel computing into their courses can seem very daunting. For example, should PDC concepts be covered in a single required course (perhaps computer systems) or be scattered throughout different courses in the undergraduate curriculum? What languages are the best/easiest for students to learn PDC? How much revision is truly needed? This Birds of a Feather session provides a platform for computing educators to discuss the common challenges they face when attempting to incorporate PDC into their curricula and share potential solutions. Chiefly, the organizers are interested in identifying ""gap areas"" that hinder a faculty member's ability to integrate PDC into their undergraduate courses. The multiple viewpoints and expertise provided by the BOF leaders should lead to lively discourse and enable experienced faculty to share their strategies with those beginning to add PDC across their curricula. We anticipate that this session will be of interest to all CS faculty looking to integrate PDC into their courses and curricula.</p>",Suzanne Matthews; Joel Adams; Richard Brown; Elizabeth Shoop,Sub,10.1145/3328778.3372511,https://doi.org/10.1145/3328778.3372511,https://youtu.be/SMiZ1wwv8Is,https://drive.google.com/open?id=1QhEk12n-RluBJ4qcxWox_AJ8Ly2HU7lh
Birds of a Feather,BOF #3A: Access to Computing Education for Students with Disabilities,"<p>Approximately 10% of computer science and engineering majors have a disability. Students with disabilities face a variety of challenges including those related to stigma around disability, inaccessible tools and instruction, disability disclosure, and a lack of mentors. This BOF will bring together individuals who are interested in increasing the representation of students with disabilities in computing and improving their success. Participants will share strategies to help each other do a better job of including these students in our classes and research projects. Resources related to accessible tools and instruction, universal design of learning, opportunities for students, and more will be shared.</p>",Richard Ladner; Andreas Stefik; Amy J. Ko; Brianna Blaser,Sub,10.1145/3328778.3372514,https://doi.org/10.1145/3328778.3372514,,
Birds of a Feather,BOF #4A: POGIL in Computer Science for Beginners and Experts,"<p>Process-Oriented Guided Inquiry Learning (POGIL) is a research-based instructional strategy with a proven history across STEM disciplines. In a POGIL classroom, teams of students work on activities that are specifically designed to guide them to construct their own understanding of key concepts. At the same time, students develop process skills such as communication, teamwork, problem solving, and critical thinking. POGIL incorporates practices shown to be particularly helpful for students from underrepresented populations. In a POGIL classroom, teachers are facilitators, not lecturers. Multiple studies have shown that students in POGIL classes do better on common exams and in subsequent courses. For more information, see http://cspogil.org and http://pogil.org. This BOF will (1) enable people unfamiliar with POGIL to ask questions and learn more, and (2) bring together experienced POGIL practitioners to share experiences, concerns, ideas, and insights. As in a POGIL classroom, we will discuss topics in small teams and report out to the larger group.</p>",Helen Hu; Chris Mayfield,Sub,10.1145/3328778.3372515,https://doi.org/10.1145/3328778.3372515,https://www.youtube.com/watch?v=UaSRuEjgeJY,"https://drive.google.com/open?id=1XVGpRDZzENJlpXI29jB1I1TDHggf4X0u, https://drive.google.com/open?id=1ObzWZwbQpCN7GH8buNnxAZLTsWXE-UXa"
Birds of a Feather,BOF #5A: Toward an Open-source Toolkit for Machine Learning Education,"<p>Machine Learning (ML) has become one of the highly participated courses at the undergraduate level in Computer Science. Open-source ML libraries make it easy for students to implement papers, share ideas, and conduct experiments on large scale datasets. With the emergence of public dataset portals (such as Kaggle, Amazon Datasets, and Google Datasets Search), the open-source community has produced many useful, high-quality libraries (such as Scikit-Learn, PyTorch, Keras, and Tensorflow among others). These open-source tools aim to make state-of-the-art ML algorithms and large-scale datasets accessible to all. While these ML libraries and datasets can benefit many undergraduate students in their pursuit of data-related careers, the task of choosing them for instructional purposes can be daunting for two reasons. First, all of these tools have advantages, drawbacks, and many overlapping issues. There is no single tool or dataset that covers all of the ML instructional needs. Second, due to the rapid advancements in the field, instructors often find a lack of comprehensive guidelines or standards on evaluating the instructional usability and real-world performance of open-source tools. How can these libraries and tools be integrated to aid the instructional activities of both classical machine learning as well as deep learning? This BOF will provide a platform for the discussion of the development of an open-source toolkit to support the teaching and learning of ML at the undergraduate level.</p>",N. Rich Nguyen,Sub,10.1145/3328778.3372531,https://doi.org/10.1145/3328778.3372531,,
Birds of a Feather,BOF #6A: How Can We Make Office Hours Better?,"<p>Most personal student interactions with instructional staff come through office hours. Particularly in large courses, office hours are predominantly run by teaching assistants (TAs). TAs are best advantaged by support and training from more senior instructional staff, especially faculty. This Birds-of-a-Feather session will provide a forum for discussing challenges and innovations in managing office hours, particularly in computer science courses, with the aim of improving the student learning experience and environment. This session will have the opportunity for discussing the mentoring and personalized support of TAs, as well as what technological support exists, such as queue software or internal wikis, and additionally ideas for more significant changes to office hours structure that could lead to future collaborations or research. While this session will emphasize TA-supported office hours, the discussion should inspire new ideas and techniques for managing individual-instructor office hours as well.</p>",Kevin Lin; Brian Railing,Sub,10.1145/3328778.3372519,https://doi.org/10.1145/3328778.3372519,,
Birds of a Feather,BOF #7A: Using Validated Assessments to Learn About Your Students,"<p>Computer Science now has a number of validated instruments available for measuring student knowledge or interest in computing (SCS1, BDSI, CAS, Digital Logic CI, etc.). But when and how should instructors and researchers use these instruments? In this BOF, we will begin by discussing the available instruments, their purpose, and how to obtain them. Then we will open the discussion to the group on what they would like to measure, how these instruments might work for them, and how to best employ them with their students.</p>",Michael Clancy; Cynthia Lee; Soohyun Liao; Leo Porter; Cynthia Taylor; Kevin Webb,Sub,10.1145/3328778.3372520,https://doi.org/10.1145/3328778.3372520,0,https://drive.google.com/open?id=12LlvlADVQYkrR2tdOUzMArgflApTTWom
Birds of a Feather,"BOF #8A: ""I've taken a first CS class and liked it! What's next?"" Exploring the Multiplicity of CS2 Paths for Majors and Non-Majors","<p>Driven by diverse needs of students, as well as increasing needs of other disciplines, the past two decades have seen a proliferation of emerging variations in how computer science programs approach a second course in the discipline. Approaches more focused on majors include adaptations to a traditional introduction to data structures course that may heavily incorporate object-oriented programming or emphasize using data structures from libraries. Paths that might be concurrent with a traditional CS2, or have greater appeal to non-majors include recent efforts with data science or secure computing. In a world of increasingly limited resources but ever-increasing needs and demands from inside and outside the major, how do we provide solutions?</p>
<p>Bringing together educators who are concerned about intermediate CS education will allow participants to hear multiple viewpoints about what the needs are and how various institutions are currently, or are considering, addressing them. The discussion leaders will kick off the conversation with local expertise---one approach of a CS2 course for majors and non-majors that emphasizes data science and modern practical skills such as databases and HTTP, another with new curricula for multiple CS2 courses, and a third with novel approaches in a traditional data structures CS2 course. Attendees will be able to connect with other people interested in the future of course curricula following CS1 and share ideas, resources, successes, and failures. We will be soliciting participants' perspectives on preparing CS2 students for downstream paths, including (i) future courses, (ii) interviews, (iii) internships, and (iv) research projects.</p>",Thomas Bressoud; Margaret Ellis; Lea Wittie,Sub,10.1145/3328778.3372523,https://doi.org/10.1145/3328778.3372523,,
Birds of a Feather,"BOF #9A: For Us, By Us: Resources for Computing Outreach Programs Designed by People of Color","<p>Computer Science outreach programs for Black and Latinx communities are often led by those who are not of the community for which they are building. While there are programs that exist that are being ran by Black and Latinx men and women, they are often conducted in siloes and are not given the resources that other programs are given. This session will serve as a gathering for Black and Latinx BPC program leaders to share resources that could help with operations, funding, and collaboration amongst themselves and other external stakeholders.</p>",Khalia Braswell; Jamika Burge; Sheena Erete; Christina Harrington,Sub,10.1145/3328778.3372526,https://doi.org/10.1145/3328778.3372526,,
