track,title,abstract,authors,type,doi-num,doi-address,video-link,supplemental-link
Demo,Demo Session 1,,Lina Battestilli; Jennifer Campbell,Session,,,,
Demo,"Demo #1A: Snap! v5, Our Biggest, Feature-filled Release Ever!","<p>In early June, we released Snap! version 5, with more new features than in any previous release. We now have a community website where users can share and publish projects so others can find and remix them, and where they can ask questions and discuss the beauty and joy of computing. We can now embed Snap! projects in other web pages. We've also enhanced the programming language, making it easier to discover and to use powerful blocks for analyzing data and transforming media. Did you know you can now use the video motion from the camera as an input device? How about painting by whistling? There's nothing that beats a live demonstration of all these wonderful features, and we have two veteran power users to take it through its paces.</p>",Dan Garcia; Michael Ball,Sub,10.1145/3328778.3372549,https://doi.org/10.1145/3328778.3372549,https://youtu.be/NdClIk04M4g,0
Demo,Demo #1B: Implementing a More Challenging Parsons Problem Interface for Teaching Computer Science,"<p>Parsons Problems, in which students unscramble provided lines of code, are an exciting innovation for teaching introductory Computer Science. Prior work has shown that students can learn more efficiently by solving Parsons Problems compared to writing code and can learn more effectively by solving Parsons Problems compared to worked examples. Though Parsons Problems have been found effective, there is some evidence that students can use syntactic heuristics to help them solve these problems without full understanding, confirmed to be in use by mature CS1 students in our pilot study. To address this limitation, we propose Faded Parsons Problems, a variation of Parsons Problems where parts of the provided code are incomplete. We built a Flask app that supports Python programming exercises - traditional code writing, standard Parsons Problems, and Faded Parsons Problems - as well as survey and simple comprehension questions (multiple choice and short answer questions). The system can log anonymized data from participants, enforce time limits, and randomize treatment selection. Exercises support an autograder, implemented as a separate worker using RQ that safely executes arbitrary code. Students can run pre-configured tests as frequently as they want to receive detailed output from the test cases: function arguments, expected output, actual output, print statement output, raised exceptions, and custom messages configured by the instructor. Exercise descriptions, provided code lines (including blanks), initial code, and test cases may be configured from YAML files. The system has been used successfully with 50 simultaneous users. A demo can be viewed at https://codestyle.herokuapp.com/sigcse-demo</p>",Nathaniel Weinman; Brian Hsu; Alexia Camacho,Sub,10.1145/3328778.3372548,https://doi.org/10.1145/3328778.3372548,https://youtu.be/7qOsnGCt2zI,0
Demo,Demo Session 2,,Lina Battestilli; Jennifer Campbell,Session,,,,
Demo,Demo #2A: Deep Thought: An Intelligent Logic Tutor for Discrete Math,"<p>Undergraduate students often struggle to learn optimal logic proof solving strategies in Discrete Math courses, primarily because of the open-ended nature of the domain. Students can, therefore, benefit from personalized tutoring, where they can receive user-adaptive support. Over the past decade, the advancements in the field of intelligent tutoring systems (ITSs) have made it possible to provide personalized tutoring with minimal involvement of a teacher or a human expert. While such tutoring systems have the potential to augment student learning on a large scale, few intelligent tutors are made open source. Deep Thought is a logic tutor where students practice constructing deductive logic proofs. Extensive research has been conducted for 11 years to provide data-driven intelligent tutoring support in Deep Thought. The logic tutor provides adaptive support using data-driven approaches on two levels: problem level, where the tutor decides whether the student should view the next problem as a worked example or they should solve it, and step level, where the tutor decides when an unsolicited partially-worked step should be provided to the student to direct them towards optimal problem-solving strategies. We have found encouraging evidence to support that the intelligent policies in Deep Thought help undergraduate students learn logic. Deep Thought is currently being used in discrete math classes at two universities: North Carolina State University, and the University of North Carolina at Charlotte. Our aim is to make this tutor available to a larger audience so as to contribute to the Computer Science Education community.</p>",Mehak Maniktala; Tiffany Barnes,Sub,10.1145/3328778.3372544,https://doi.org/10.1145/3328778.3372544,0,https://drive.google.com/open?id=1P-oZMVEnB4v328R1T2XVhqnoYedr8odq
Demo,Demo #2B: The Quantum Katas: Learning Quantum Computing using Programming Exercises,"<p>Quantum computing harnesses quantum laws of nature to enable new types of algorithms, not efficiently possible on traditional computers, that may lead to breakthroughs in crucial areas like materials science and chemistry. There is rapidly growing demand for a quantum workforce educated in the basics of quantum computing. However, there have been very few offerings that help the learner to bridge the gap between the theoretical quantum computing knowledge and applying it to solving real-world problems.</p>
<p>The Quantum Katas project has been designed specifically to reduce that gap. Each kata is a sequence of programming exercises that walk the learner through one or several closely related topics in quantum computing. The learner turns to the kata once they have studied the theory on this topic, to internalize their new knowledge. Each exercise requires writing a fragment of code in Q# - a quantum programming language. Most importantly, each kata includes a testing framework that provides immediate feedback for the attempted solutions, allowing the learner to study at their own pace even without access to instructor. This makes the project beneficial both for instructor-led studies and for self-learning.</p>
<p>The Quantum Katas are an open-source project available at https://github.com/microsoft/QuantumKatas.</p>
<p>In this demo I will showcase the Quantum Katas and talk about our experience using them in a variety of learning environments, from guided university courses to workshops and study groups to self-paced learning.</p>",Mariia Mykhailova,Sub,10.1145/3328778.3372543,https://doi.org/10.1145/3328778.3372543,https://youtu.be/9MjurJy96IQ,0
Demo,Demo Session 3,,Lina Battestilli; Jennifer Campbell,Session,,,,
Demo,Demo #3A: Bricks: Extreme Active Learning for Introductory Programming,"<p>Bricks is an extreme active learning environment developed for teaching intro programming using learn-by-doing: students learn by writing code in class and getting instant feedback on their progress. In use for 6 years at UNC, Bricks has increased class attendance, student comprehension and mastery of content, in-class interactions, and student satisfaction. The demo shows ""a day in the life"" of a Bricks student, with the presenter as instructor. Audience members with laptops will be able to participate in the student coding and learning experience. In the Bricks pedagogy, the instructor writes code in-class to demonstrate basic language use, as well as algorithmic design thinking. Students ""type what I type"" and write the same code, for small credit. Every class period is almost entirely coding, and discussing the programs. Out of class, these in-class examples guide students in ""do it yourself"" programming. Bricks has a client/server web-based architecture. The demo runs both the student programming interface and the instructor dashboard. We illustrate tracking class progress as the audience writes student code, and we project some student work for class discussion and comparisons. We also show the on-line help system, where student questions about program problems are handled in real-time. A new feature called ""crowd sourcing solutions"" supports collaborative coding of larger programs. Starter code is distributed to students through the Bricks database, and student solution components are collected back for integration and testing. More details can be found in this paper: http://www.cs.unc.edu/~stotts/SIGCSE2020/BricksExLearn.pdf</p>",David Stotts; Yu Ji,Sub,10.1145/3328778.3372547,https://doi.org/10.1145/3328778.3372547,,
Demo,Demo #3B: SecureCvisual: Visualization and Analysis for C Code Security,"<p>In many undergraduate programs, students primarily write code in Java or other scripting languages. Yet C and C++ are widely used when performance is important. Poor understanding of a C program's layout in memory and its execution leads to the introduction of security vulnerabilities. We present the SecureCvisual system, which is designed to help students learn to develop more secure and robust C programs.</p>
<p>The system takes input from dynamic analysis using Pintool. The analysis produces a sequence of events that are processed by the visualizations. A student or instructor can step forward or backwards through an execution. Source code is displayed, and events are linked to a line of source code. A program address space visualization depicts the values of registers and the program address space. Buffer overflows and other memory errors are easily seen. An integer representation window identifies integer coercions that take place within an equation. The result of a conversion between integer types is also shown. A sensitive data visualization teaches students how to protect data so that it does not appear unencrypted on secondary storage. The tool is convenient for lecture. Multiple levels of detail and different perspectives on an execution make the tool useful in a variety of courses.</p>
<p>This work has been supported by the National Science Foundation under grants DUE-1245310, DGE-1522883 and DGE-1523017.</p>",Steven Carr; Jean Mayo,Sub,10.1145/3328778.3372540,https://doi.org/10.1145/3328778.3372540,,
Demo,Demo Session 4,,Lina Battestilli; Jennifer Campbell,Session,,,,
