track,title,abstract,authors,type,doi-num,doi-address,video-link,supplemental-link
Lightning Talks,Lightning Talks Session 1,,Lina Battestilli; Jennifer Campbell; Kevin Lin,Session,,,,
Lightning Talks,LT #101: Automatic Grading for Program Tracing Exercises,"<p>Understanding how a programming construct executes is a prerequisite for coding. Tracing exercises are often used to help students develop accurate mental models of how different constructs execute. Besides asking students for the final result, a full tracing exercise, similarly to an instructor's white-board demo, checks whether students understand the execution flow and how the memory/output changes with each step of execution. Such exercises can be time-consuming to grade or set up. For paper-based full tracing exercises, once submitted, they represent the final state of the memory/output. It is time-consuming to infer whether students have traced each step correctly. For an auto-gradable quiz, if the questions are too specific (e.g. the value of a variable), they already reveal partially what the program will do. It takes time to set up auto-gradable questions that avoid this problem. We are developing a web-based system that allows instructors to set up auto-gradable full tracing exercises easily. Our approach is to augment pythontutor.com, a popular open-source code visualization system that graphically demonstrates the execution flow and memory/output changes of a complete program. Before demonstrating a step, the new system will prompt a student to determine which line is executed next and what changes happen in memory/output. The system will be auto-gradable, making it easy to deliver full tracing exercises. We will demonstrate implemented features, discuss future plans, and gather feedback from those present.</p>",Wei Jin,Sub,10.1145/3328778.3372561,,,
Lightning Talks,"LT #102: All Means All: Bringing Project-based, Approachable AI Curriculum to More High School Students through AI4ALL Open Learning","<p>Aimed at people interested in teaching AI to students of all backgrounds and others interested in broadening participation in AI, this lightning talk describes the thought process behind AI4ALL's online Open Learning curriculum, the first module of which was officially released in September 2019. AI4ALL Open Learning makes AI education free and approachable to groups that are otherwise excluded from the tech economy due to socioeconomic status, geographic location, access to resources, race, gender, and other factors. The module released in September is designed for high school students and requires no programming or Math experience. It centers around ""AI literacy"" - what AI is, how students are using it in their everyday lives, how they might in the future, and the ethics and social impacts of AI. It engages students through discussion with their classmates, their community, and their other classes, and it offers students opportunities to pursue AI projects that intersect with their interests. During the lightning talk, we will also discuss the next stage of development for the AI4ALL Open Learning curriculum: modules that build students' technical AI skills in the context of the students' interests and passions.</p>",Sarah Judd,Sub,10.1145/3328778.3372554,,,
Lightning Talks,LT #103: Student Alumni Networking,"<p>This lightning talk describes a pair of on-campus events and their possible effects on student retention and graduate employment rate. The Physics Department at St. Mary's College of Maryland has built a program to help its students prepare for the job market. This fall I replicated one part of this program in the computer science department with a two-hour networking event at which alumni answered questions as part of a panel and then participated in a speed dating type meet and greet with current students. In the future I would like to hold similar events while collecting data on how student's understanding of career opportunities change as a result of the event, and in the long term the difference in career type and employment rate. I would also like to test the effect of these events on student perception of diversity in the field of computer science. Faculty who might be interested in holding similar events and collecting data on their campus' or collaborating with the proposer to develop the study should email the proposer</p>",Ariel Webster,Sub,10.1145/3328778.3372560,https://doi.org/10.1145/3328778.3372560,,
Lightning Talks,LT #104: Make Your Escape: An Active Learning Approach,"<p>This lightning talk describes the use of escape rooms in Computer Science and Mathematics education. Escape rooms are games where players work collaboratively to solve a series of puzzles in order to achieve a goal within a limited time frame. Student created escape room puzzles are a novel way for students to foster and demonstrate their knowledge through non-traditional methods. This activity can be used in courses across the CS curriculum as well as in K-12 education. Students enjoy building the escape rooms, so they don't consider it a formal assessment and it promotes creativity and teamwork skills. Our presentation will cover the key elements in this process from formation of groups to acquiring traditional escape room elements as well as other resources that students use to create the puzzles. We will also discuss how we familiarized the students with escape rooms before the activity. We will give examples of some of the puzzles created by our CS students that included the history of computing, tracing computer code, designing algorithms, solving logic problems, binary numbers, decoding ASCII codes, encryption and sequence and series problems.</p>",Victoria Hong; Elana Reiser,Sub,10.1145/3328778.3372557,https://doi.org/10.1145/3328778.3372557,,
Lightning Talks,LT #105: Leveraging Industry Benchmarks to Teach Database Concepts,"<p>Databases have been a part of core curriculum in computer science for decades. Courses exist at both introductory and advanced levels and topics include data modeling and design, query optimization, and studying features of specific database platforms such as MySQL. Concepts such as normalization in relational databases, OLTP/OLAP are taught using assignments that are based on short synthetic examples. In this talk, we propose the use of open use industry benchmark kits (HammerDB), the Wisconsin benchmark, and/or TPC-defined industry benchmark to create ""close to real-world"" and engaging course modules. The use of benchmarks will not only offer new ways of teaching the existing topics but also allow extending the scope of current database courses to contemporary data management systems and big data technologies. Students will be exposed to a breadth of areas including database internals, performance optimization, schema design (real world schemas with ""large"" datasets), an insight into the underlying system and its performance, and exposure to ""what's possible"" with current hardware all under one course. The three benchmarks we discuss cover three different data management scenarios. TPC-[C/E] serves OLTP use-case, TPC-[H/DS] addresses OLAP while TPCx-BB supports a mix of OLAP and Big Data. We experimented with this idea by organizing two guest lectures on database benchmarks to a class of computer science students at Portland State University; and it was very well-received as evident from students' feedback. Through this proposal, we hope to invite interested faculty for further discussions so that it may develop into a multi-institutional endeavor.</p>",Dippy Aggarwal; Charles Winstead; Kristin Tufte,Sub,10.1145/3328778.3372562,https://doi.org/10.1145/3328778.3372562,,https://drive.google.com/open?id=18NfHEKixyyh8G3Hfwp9LPg-GRlIZzSOk
Lightning Talks,LT #106: Teaching with Program2Play: Using Programming Instructions to Play Games,"<p>Program2Play is a web-based initiative that teaches learners to program through gameplay. Program2Play games generally have two versions for each game. One game can be played by using a mouse or arrow keys, depending on the type of user interaction required. This version demonstrates the desired functionality of the game. The second game is identical to the first game except there are programming instructions missing from the first which the user must supply for the game to function correctly. The user can then test the programming instructions by playing the second version of the game and observing the results of the inserted instructions. Because learners code a small portion of a game, they can see the result of their efforts quickly in an exciting context. Also, by coding a subset of the game the sources of error are greatly reduced, enhancing the likelihood of a successful learning experience. The initial games target relatively simple, yet powerful instructions. For example, learners are asked to code the instruction that moves a bee in the game so that it avoids a dragonfly and reaches the honeycomb. The simplicity and power of an instruction like, <i>bee.x += value,</i> can be experienced in the context of an animation loop.</p><p>This pedagogical approach encourages experimentation with programming instructions. Program2Play is suited for beginning programmers and programmers who may need additional learning experiences or motivation. Program2Play can be used in high schools or to help remediate deficient programming skills for first-year students.</p>",Evelyn Stiller,Sub,10.1145/3328778.3372563,https://doi.org/10.1145/3328778.3372563,,
Lightning Talks,LT #107: Transitioning From Peer Instruction to POGIL with Guided Lecture Notes,"<p>There is overwhelming evidence that active learning is better than completely passive lecture. However, adoption of evidence-based teaching practices has been slow in part because creating new course materials is often a time-consuming and labor-intensive process. Inspired by prior work in the sciences, we describe our experiences deploying guided lecture notes to transition from peer instruction (10% of lecture time) to process oriented guided inquiry learning (POGIL, 50% of lecture time) over two offerings of data structures and algorithms in a large R1 university. In the first offering, we added metacognitive questions in the presentation speaker notes, providing additional scaffolding between pre-lecture reading and in-lecture peer instruction activities. At the beginning of each class session, we distributed guided lecture notes to students by printing the presentation speaker notes alongside lecture slide content. In this way, we were able to seamlessly integrate new supporting materials alongside lecture graphics and examples. In the second offering, we expanded guided lecture notes into POGIL worksheets by migrating most of the remaining passive lecture content to pre-lecture readings and consolidating lecture around three levels of process oriented guided inquiry: (1) metacognitive questions, (2) peer instruction activities scaffolded by the metacognitive questions, and (3) practice problems integrating multiple ideas. The resulting POGIL classroom leverages presentation software as a canvas for introducing problems with graphics and animations while structuring activities around active learning via process oriented guided inquiry.</p>",Kevin Lin,Sub,10.1145/3328778.3372565,https://doi.org/10.1145/3328778.3372565,,https://drive.google.com/open?id=1tN3Bby2vAGzfPRkMxAyu7Yryry8P7iuF
Lightning Talks,LT #108: Improving the Outcomes of Hispanics in AP Computer Science,"<p>This lightning talk describes a proof of concept research project funded by a Google CS Education (CS-ER) Research grant. The project focuses on pedagogical interventions aimed at improving the outcomes of English Language Learners (ELLs) in Advanced Placement Computer Science. The research underway examines the use of Sheltered Instruction (SI), a model from English as a Second Language (ESL) and bilingual education, used in mainstream classrooms across other content areas, in the AP CSA and AP CSP classroom. Strategies and pedagogy from the Sheltered Instruction model are being infused into AP Computer Science curriculum and used in classrooms in participating districts. The districts have been selected to include a range of ELLs and native English speakers. The impact of this approach will be measured by comparing the AP CS exam scores of students in the participating districts with the national and state AP CS exam scores. This lightning talk will focus on the pedagogy development which has taken place and preliminary findings from two cohorts of AP CS and AP CSA teachers, in particular the impact and changes to the teacher's development of CS education lessons and in-class lesson delivery. The project is an interdisciplinary collaboration between faculty from the School of Computer Science and the School of Curriculum and Teaching.</p>",Mayra Bachrach; Patricia Morreale; Gail Verdi,Sub,10.1145/3328778.3372567,https://doi.org/10.1145/3328778.3372567,https://www.youtube.com/watch?v=l9TN9o2QnBQ&t=11s,
Lightning Talks,LT #109: A Study Away Summer Program Addressing Accessibility,"<p>Accessibility is an important part of designing and building products, yet many computer science students are not receiving any instruction on how to design for accessibility. Teach Access was founded in 2015 as a joint endeavor between industry and academia to address this issue. As part of this larger initiative to include accessibility topics within the field of computer science, we discuss our experiences organizing and participating in a summer study away program that brought together faculty and students from seven universities to spend a week visiting and learning from accessibility experts at a variety of technology companies within Silicon Valley. This second annual offering of this study away program allowed the participating students to learn more about accessibility, participate in accessibility design challenges, and increase discussion and awareness about disabilities and accessibility. We believe this program to be transformational for the students who participate; and are exploring ways to expand the program offerings to reach even more students.</p>",Kendra Walther; Kate Sonka,Sub,10.1145/3328778.3372569,https://doi.org/10.1145/3328778.3372569,,
