track,title,abstract,authors,type,doi-num,doi-address,video-link,supplemental-link
Poster Session,Poster Session 1,,Monisha Pulimood; Ruth Anderson,Session,,,,
Poster Session,Poster #101: Understanding Parents' Perceived Barriers to Engaging Their Children in Out-of-School Computer Science Programs,"<p>To address participation inequities among youth in computer science programs, this study examined how parents evaluate out- of-school time (OST) STEM programs for their children. We facilitated a workshop and conducted interviews with parents in Digital Youth Divas (DYD), an OST STEM program for middle-school girls who are underrepresented in computing. We found that parents prefer programs that are free, at accessible locations, and run by reputable educational institutions. Parents also identified barriers such as the lack of a parent network and conflicting schedules. These challenges must be addressed in order to encourage participation in OST computing science programs.</p>",Bo Ju; Olivia Ravenscroft; Evelyn Flores; Denise Nacu; Sheena Erete; Nichole Pinkard,Sub,10.1145/3328778.3372663,https://doi.org/10.1145/3328778.3372663,,
Poster Session,Poster #102: Case Study-based Portable Hands-on Labware for Machine Learning in Cybersecurity,"<p>Machine Learning (ML) analyzes, and processes data and develop patterns. In the case of cybersecurity, it helps to better analyze previous cyber attacks and develop proactive strategy to detect and prevent the security threats. Both ML and cybersecurity are important subjects in computing curriculum, but ML for cybersecurity is not well presented there. We design and develop case-study based portable labware on Google CoLab for ML to cybersecurity so that students can access and practice these hands-on labs anywhere and anytime without time tedious installation and configuration which will help students more focus on learning of concepts and getting more experience for hands-on problem solving skills.</p>",Hossain Shahriar; Michael Whitman; Dan Chia-Tien Lo; Fan Wu; Cassandra Thomas,Sub,10.1145/3328778.3372579,https://doi.org/10.1145/3328778.3372579,,
Poster Session,Poster #103: Information Assurance and Security Education on Undergraduate Computing Degree Programs,"<p>A set of Information Assurance and Security hands-on learning modules is developed and open to the public. Topics include networking security, database security, defensive programming, web security, system fundamentals, mobile security, malware detection using Machine learning, and big data analytics on network intrusion detection. The design follows hands-on case- based pedagogical model, which yields a satisfaction rate up to 92.5% for self-learners.</p>",Dan Chia-Tien Lo; Kai Qian; Hossain Shahriar; Fan Wu; Johng-Chern Chern; Pascal Paschos; Chung Ng,Sub,10.1145/3328778.3372584,https://doi.org/10.1145/3328778.3372584,,
Poster Session,Poster #104: A Hands-On Lab for Macro Malware Detection using Machine Learning on Virtual Machines,"<p>We developed a hands-on lab for students to learn macro malware detection using decision trees on an open sourced data analytics software, HPCC, running on a virtual machine. The labware along with required software and documents are freely available at our project website. Our design is low cost, customizable and can be easily replicated to other institutions. Our experience shows that students have difficulties in configuring software environment for the lab. The virtual machine approach allows pre-configurations for datasets and required software installations and setting to facilitate students' learning and instructors' teaching. Since students are working on malware, the virtual machine provides an isolated network environment for testing without affecting normal operating network. This lab design can also be integrated into online courses by simply downloading and installing the customized virtual machine.</p>",Dan Chia-Tien Lo; Ruth Bearden; Deepa Muralidhar; Hossain Shahriar; Wei Chen; Pascal Paschos; Chung Ng,Sub,10.1145/3328778.3372576,https://doi.org/10.1145/3328778.3372576,,
Poster Session,Poster #105: Profiling the Experience of Second Year Computing Students,"<p>The struggles of first year computer science students has been extensively studied. Work has focused on students who choose not to complete introductory programming courses (CS1, CS2), with the decision to not complete attributed to a lack of prior programming experience, difficulty in grasping course content, and changes in personal priorities. The experience of students in the second year, however, is less well studied. We conducted an interview-based study of students in the second year who have dropped a second year compute science course. Our goal is to better understand student challenges that lead to the decision to drop in the second year and to compare the factors that are identified to those that are relevant to non-completion of the first year.</p>",Dashvin Singh; Andrew Petersen,Sub,10.1145/3328778.3372616,https://doi.org/10.1145/3328778.3372616,,
Poster Session,Poster #106: COSMIC: US-based Conversion Master's Degree in Computing,"<p>COSMIC is an NSF S-STEM graduate curriculum initiative/conversion program that strives to provide an accelerated pathway to a Master of Science (MS) degree for individuals who do not have an undergraduate degree in computing, but who wish to cross over into the computing field. The structure of our conversion program, the context that motivated it, and insights from conversion students' instructors are presented. Program successes with students from under-represented populations and the limitations that are also experienced are discussed. Our conversion program is based on a highly focused summer bridge course, combined with a customized curriculum pathway that enables people without undergraduate computing degrees to merge quickly and efficiently into a professional MS in computing degree program. The program is similar in concept to post-baccalaureate conversion programs in New Zealand (e.g., the Master of Software Development at the Victoria University of Wellington) and the extensive conversion choices in the UK. Undergraduate and graduate student enrollment statistics from past and current (2018) CRA Taulbee Surveys strongly suggest the computing profession has a moral obligation to seek out and encourage individuals from under-represented populations to become a significant part of the computing professional community. We encourage other institutions to join in the effort to recruit and provide pathways for post-baccalaureate individuals from under-represented populations to become a significant part of the computing community.
 </p>",Gary Krenz; Thomas Kaczmarek,Sub,10.1145/3328778.3372620,https://doi.org/10.1145/3328778.3372620,0,https://drive.google.com/open?id=1wVO3aHxFFK03evJQhvwqhvZuInaxpAJ8
Poster Session,Poster #107: Jupyter/Canvas Submission Framework Integration,<p>Cloud-based JupyterHub installations support easy access to computing environments for intro computing using Jupyter Notebooks. We propose an interface and technical design to smoothly integrate JupyterHub with Canvas for intro students.</p>,Emily Gubski; Steven Wolfman,Sub,10.1145/3328778.3372670,https://doi.org/10.1145/3328778.3372670,,
Poster Session,Poster #108: Learning Trajectories in Action: A Practical Study on an After-School Coding Club Curriculum,"<p>Computing curricula are finding their way into many elementary and middle school students' classrooms and after-school learning experiences. As more curricula are developed, there is a need to understand how they align with the Rich et al. learning trajectories (LTs) for sequencing, repetition, and conditionals [3] in terms of curricula design and student learning outcomes. This poster examines how LTs map to the 2018-2019 Girls Who Code (GWC) curricula implemented in a local GWC coding club. This poster shows how student learning under the 2018-2019 GWC curriculum maps to paths within the beginning and intermediate levels of the Rich et al. LTs for sequencing, repetition, and conditionals [3]. We also discuss challenges in evaluating several LT learning goals and potential uses of LTs as diagnostic tools to identify student misconceptions.</p>",Gabriela Buraglia; Yerika Jimenez; Christina Gardner-McCune,Sub,10.1145/3328778.3372659,https://doi.org/10.1145/3328778.3372659,0,https://drive.google.com/open?id=1STSbkEqvDTz-3uBBzzWi_dI-8y8-K1wP
Poster Session,Poster #109: Creating an OER Collection of Automatically Scored Practice Exercises for Computer Science 1,"<p>Open Educational Resources (OER) is one way to help reduce the cost of higher education. We created a repository of 90 (and growing) practice problems for learning introductory programming using Python 3. In order to provide immediate feedback to learners as well as alleviate the scoring burden on instructors, these exercises include tests for a popular automatic web based scoring platform. We have been using and refining these materials for the past four semesters and collecting student user survey data. Overall, students have had a positive reaction to the practice format.</p>",Hillary Fleenor; Hyrum Carroll,Sub,10.1145/3328778.3372592,https://doi.org/10.1145/3328778.3372592,0,https://drive.google.com/open?id=11kqoQx7uEoVvm-Nm0aAOw0BJmCJcVwcf
Poster Session,Poster #110: “We'll be Scratching All the Time.” Understanding the Role of Language in Computational Thinking Education for Elementary Teachers,"<p>School systems globally have begun to integrate computational thinking (CT) practices into elementary teaching and learning standards to provide young students with a comfort for and foundational understanding of computer science. This integration requires educating teachers to develop and implement CT learning opportunities. Our work contributes to best practice by exploring the role language plays in elementary teachers' discussions and development of CT-infused science lessons. To do this, we captured and analyzed the language used by elementary teachers as they spoke and wrote about CT in a multi-week professional development experience during which the teachers created and delivered CT-infused lessons to their students. We determined that teachers exhibited differing CT conceptualizations, which we categorized from broad to narrow. These differences were not, however, observed in either their spoken or written language. While there were instances of teachers using language that mirrored how the facilitators discussed CT, this use did not align with how they conceptualized CT. Our work analyzing connections between CT language use and CT conceptualization suggests that in order to understand how teachers are conceptualizing CT, professional development designers and teacher educators should focus on creating opportunities for teachers to employ CT practices in context rather than relying only on language. We feel this will support a more precise and nuanced engagement with CT.</p>",Heather Killen; Merijke Coenraad; Lautaro Cabrera; Kelly Mills; Diane Jass Ketelhut; Jan Plane,Sub,10.1145/3328778.3372667,https://doi.org/10.1145/3328778.3372667,,
Poster Session,Poster #111: Integrating Computational Thinking in math courses for 3rd and 4th Grade students with Learning disabilities via Scratch,"<p>This study investigates primarily the use of Computational Thinking in teaching mathematical concepts of Perimeter and Area. For those 3rd and 4th Grade students with learning disabilities, specifically, the extent to which their construction and understanding of mathematical concepts and their development of computational thinking are explored. For these reasons, the experimental research method is the one-group pretest-posttest design that we adopted which was conducted with 26 students, identified as learning disabilities by the committee for Identification and Placement of Gifted and Disabled Student. Data collected are analyzed with the Paired Sample t-test to comparison of these students in their learning outcomes and difference in aspects of construction of mathematical concepts and development of computational thinking after teaching. We find this teaching method enhances the learning outcomes and performance in the Math unit of Perimeter and Area and the performance of the development of computational thinking of these students after the intervention (160 minutes).</p>",Chen-Huei Liao; Hui-Ju Hsu; Pei-Chen Wu,Sub,10.1145/3328778.3372588,https://doi.org/10.1145/3328778.3372588,,
Poster Session,Poster #112: Scenario Based Active Learning Programming with Unity 3D,"<p>To meet the ever-increasing demand for information technology (IT) workforce, we must educate and produce high-quality graduates. It is crucial to balance fundamental programming concepts and coding skills to develop skilled IT work forces who solve a complicated real-life problem using technology. In this project, we created scenario-based active learning modules by using a visual platform to improve student learning on programming concepts and skills.</p>",Hyesung Park; Sean Yang; Hongsik Choi,Sub,10.1145/3328778.3372582,https://doi.org/10.1145/3328778.3372582,0,https://drive.google.com/open?id=1q2c_QPgolvubS2ySci_K5BPpeMjhKBnH
Poster Session,Poster #113: GitGrade: A Scalable Platform Improving Grading Experiences,"<p>We present GitGrade, a system for accepting and automatically grading programming assignments. GitGrade allows instructors to provide coherent and timely feedback to students. GitGrade is similar to other grading platforms in that it accepts student work and allows modifiable grading rubrics. Furthermore, it is fast, extendable, can run auto grading scripts on programs, is free, and has a modern look and feel. GitGrade is built on top of the school's Gitlab instance which is used in many courses as a VC code repository as is done in industry. By integrating with Gitlab, we are able to distribute assignment starter code and specifications very easily. GitGrade has been in development since Autumn 2018, and to date it has been used to grade more than 5000 student repositories between our full-stack Web Development (CSE154) and Interaction Programming (CSE340) courses with positive feedback from graders and students. Feedback from students and course staff has since been actively incorporated to provide a workflow experience for students and instructors that is streamlined and easy to use in any programming course.</p>",Jeremy Zhang; Chao Hsu Lin; Melissa Hovik; Lauren Bricker,Sub,10.1145/3328778.3372634,https://doi.org/10.1145/3328778.3372634,0,https://drive.google.com/open?id=1wL4j-MQNpCnhy0HdyhjRuvis_Bm6PNL7
Poster Session,Poster #114: Curricular Guidance for Associate-Degree Cybersecurity Programs,"<p>As projections of the shortage of cybersecurity workers grow, the ACM CCECC (Committee for Computing Education in Community Colleges) has led creation of a set of guidelines for two-year cybersecurity programs at the associate-degree level, called Cyber2yr2020. The Cyber2yr2020 guidelines underwent two rounds of public review and comment with the StrawDog and IronDog drafts, and the final version will be released in early 2020. This poster presents the curriculum guidelines, provides perspectives on the use of the guidelines, and offers opportunities to highlight two-year cybersecurity programs by aligning with the guidelines in a program example.</p>",Cara Tang; Cindy Tucker; Christian Servin; Markus Geissler; Melissa Stange,Sub,10.1145/3328778.3372622,https://doi.org/10.1145/3328778.3372622,0,https://drive.google.com/open?id=16KlPqwZbdmoA6nVAo-FOMJa4v6cFZHdd
Poster Session,Poster #115: Integrate Global Sustainability Virtual Exchange Into Teaching Computer Science Concepts,"<p>The increasing globalization of technology has changed the face of computer science. In addition to core technology skills, modern computer scientist must possess cross-cultural communication skills, team management skills, the ability to perform on geographically distributed teams, and an understanding of the big picture in addition to technical ability. Lord Fairfax Community College (LFCC) used a virtual exchange as a teaching tool for introductory computer science concepts. Nineteen students participated in the Global Solutions Sustainability Challenge, a project supported by the Stevens Initiative, which is sponsored by the U.S. Department of State and administered by the Aspen Institute. The project aims to find a sustainable solution to an issue within the hospitality and tourism industry, while providing students an opportunity to learn about a different culture. Over 10 week students learned about the seven big concepts of computer science, marketing, business plans, team work, public speaking, research, leadership, graphic design, application development, and much more. The poster describes the virtual student exchange concept, highlights the experiences and key elements that global virtual exchange offers students without travel expenses.</p>",Melissa Stange; Rachel Stange,Sub,10.1145/3328778.3372580,https://doi.org/10.1145/3328778.3372580,0,https://drive.google.com/open?id=1LhhfSS_mG_AZxZqxDODG65bd_E7VbAYK
Poster Session,Poster #116: A Pilot Study on the Impact of Teaching Assistant Led CS1 Study Sessions using Peer Instruction: An Undergraduate Honors Capstone Project,<p>The aim of this research is to discover if a structured study session program for CS1 students led by Teaching Assistants using Peer Instruction can promote an environment in which students feel an increased sense of belonging and improve course material retention. This study investigates the efficacy of weekly study sessions by measuring student attitudes and content retention over the course of a single semester of the introductory CS1 course at a medium sized liberal arts university with approximately 8 sections of 30 students each.</p>,Megan Gilbert; Dee A. B. Weikle,Sub,10.1145/3328778.3372602,https://doi.org/10.1145/3328778.3372602,,
Poster Session,Poster #117: Social Learning and Scaffolding to Improve Student's Self-efficacy and Engagement,"<p>The majority of Computer Science courses frequently use out-of-class activities to promote skill-building. Yet, the shortcomings of these activities limit their applicability in improving students' skills. This poster presents an innovative mobile-app-based approach to engage students in out-of-class activities. The app - Dysgu - builds on the theories of social learning and enables instructors to break regular out-of-class activities into smaller and interactive entities with instructional scaffolding. Dysgu allows students to compare their progress with their peers and provides personalized notifications and feedbacks to keep students engaged. The goal is to improve student's self-efficacy and engagement in out-of-class activities.</p>",Muztaba Fuad; Monika Akbar; Lynn Zubov,Sub,10.1145/3328778.3372583,https://doi.org/10.1145/3328778.3372583,0,https://drive.google.com/open?id=1IHM0vmQJJAwDnGNOBDLD7_WZng24hMrz
Poster Session,Poster #118: Iteration with Intention: Project-Based Learning of Computational Thinking,"<p>Globally, there is a growing interest in preparing students to develop fluency with computing. The K-12 Computer Science Framework states that by the end of 12th grade, students should be able to create computational artifacts through continuous testing and refining of their products considering unique perspectives of peers. It has been suggested that creative project experiences with iteration based on feedback encourage the development of these computational skills. However, traditional classrooms are more focused on getting the correct answer to standardized questions. Countries such as Mongolia may have particular challenges in offering students opportunities to develop projects, due to pressure from standardized exams for college entry and lack of teachers prepared to lead computational project-based learning (Uyanga, 2006).
 </p>
 
 
 <p>This is an exploratory study of an 8-session/16-hour intervention course that provided 13 high-school students in Mongolia an opportunity to create, share, and iterate on computational projects. Measurements included assessment of student attitudes and evaluated how they viewed their participation and learning in the course through pre- and post-surveys, analyzing their responses with qualitative coding. Results suggest that the opportunity to create projects was novel for these students; attitudes regarding feedback changed, and iteration was viewed as key in creating computational artifacts. The analysis also highlights the urgency of further research on localizing the K-12 Computer Science Framework throughout different countries to foster these skills and developing structures that allow students to embrace the freedom of project-based learning. 
 </p>",Nasanbayar Ulzii-Orshikh; John P. Dougherty,Sub,10.1145/3328778.3372651,https://doi.org/10.1145/3328778.3372651,0,https://drive.google.com/open?id=1WE59n73W_siNAoWiZpubg645aTB4e8OL
Poster Session,Poster #119: Introducing Cybersecurity Concepts in Non-Security Courses through a POGIL Activity: A Pilot Study,"<p>Process-Oriented Guided Inquiry Learning (POGIL) activities are used in many undergraduate courses. Their utilization in Computer Science courses is very useful in the delivery of fundamentals of computer science. The site https://cspogil.org/contains many such activities. Currently, there is limited amount of research published involving both POGIL and Security. As such we feel that this area is wide open for contributions.</p>
<p>In this work we create a POGIL activity designed to introduce some fundamental Cybersecurity concepts to undergraduate computer science/information technology/information systems students enrolled in non-security-focused courses. The learners will get exposure to essential application security risks and reflect upon the concepts introduced. Through this POGIL activity students get exposed to exercises involving the first seven of the The Open Web Application Security Project (OWASP) Top 10 Application Security Risks.</p>
<p>We use PRE/POST survey methods to collect data from these courses and investigate students' engagement and knowledge gains resulted from this activity.</p>",Razvan Alexandru Mezei; Mario Guimaraes; Xuguang Chen,Sub,10.1145/3328778.3372575,https://doi.org/10.1145/3328778.3372575,,
Poster Session,Poster #120: Novice Debugging in Block-Based and Hybrid Environments,"<p>Debugging is an important skill for novice programmers to master, but many students struggle to learn how to debug due in part to difficulty with program syntax. Block-based environments provide an alternative to traditional textual programming that reduces syntax errors, and recently hybrid block-based/textual environments have become more common. This poster presents preliminary research to understand how novice debugging strategies differ between block- based and hybrid environments. We assigned seven participants to debug four programs within one of the two environments and conducted interviews about their debugging approaches. Thematic analysis of interview responses suggest that students adjusted their strategies based on their prior experience with textual environments. By understanding novice programmers' strategies in these environments, the field can move toward more effectively support- ing productive strategies.</p>",Phoebe Martinez; John Lopez; Fernando J. Rodríguez; Joseph B. Wiggins; Kristy Boyer,Sub,10.1145/3328778.3372642,https://doi.org/10.1145/3328778.3372642,,
Poster Session,Poster #121: Consider Visualizing Society within the ACM Code of Ethics,"<p>The effect of introducing a ""Stakeholder Impact Visualization"" into the Consider step of the CARE process in The ACM Code of Ethics and Professional Conduct is presented. This treatment increased the number and type of societal stakeholders identified and the number and type of requests for situational contextual made by computing students, when using the CARE process to consider an ethical decision contained in a malware case study.</p>",Richard Blumenthal; Johanna Blumenthal,Sub,10.1145/3328778.3372587,https://doi.org/10.1145/3328778.3372587,,
Poster Session,Poster #122: Analyzing CS1 Student Code Using Code Embeddings,"<p>We present a machine learning model to obtain vector representations of student code submissions for a CS1 programming problem. These vector <i>embeddings</i> can be used to compare code, cluster code submissions, and identify errors. We hope to use these embeddings to identify conceptual misunderstandings in student code. </p>",Robert Bazzocchi; Micah Flemming; Lisa Zhang,Sub,10.1145/3328778.3372601,https://doi.org/10.1145/3328778.3372601,,
Poster Session,Poster #123: Introducing Parallelism to First-Year CS Majors,"<p>We propose to strengthen the computer science (CS) curriculum by embedding parallel concepts in a required first-semester seminar taken by all incoming declared CS majors. We introduce students to parallel computing concepts through a series of unplugged activities so that students see parallel approaches as a natural form of solution to a task. We describe a pilot offering of the class and activities, with measurements and analysis of what students self-report and their performance on assessments. </p>",Barbara M. Anthony; D. Cenk Erdil; Olga Glebova; Robert Montante,Sub,10.1145/3328778.3372581,https://doi.org/10.1145/3328778.3372581,0,https://drive.google.com/open?id=1K8Kz7d9-Z7iCpylKh_inz7QZeXW-Guvw
Poster Session,"Poster #124: Barriers, Challenges and Strategy Use of Students with High-Incidence Disabilities","<p>Computer science (CS) education K-12 has spread at a remarkable pace over the last few years. As CS education becomes more and more a part of the general curriculum, students with disabilities, who spend much of their time in general education classrooms, will be included. Yet, there is little research on how to equitably and rigorously include students with disabilities in CS education. To begin to understand how best to provide CS educational services to diverse learners, we must first understand the challenges and barriers they face and what strategies they are already using to enable their success. This basic qualitative interpretative study utilized video screencast data of three upper-elementary students with high-incidence disabilities engaged in block-based programming. Findings confirmed students encountered multiple barriers and challenges, both unique and shared, across classrooms. While students utilized several problem solving and debugging strategies, they seldom did so in a systematic fashion.</p>",Todd Alan Lash,Sub,10.1145/3328778.3372589,https://doi.org/10.1145/3328778.3372589,,
Poster Session,Poster #125: Improving User Experience for GENI-based Cybersecurity Labs,"<p>GENI (Global Environment for Network Innovations) has been used in network research and education for more than one decade. However, very few institutions utilize the virtual machines (VM) deployed on GENI for generalized computer education. One major reason is the limited user interface offered by GENI VMs. In this poster, we introduce the desktop environment to GENI VMs, thereby widening the student base in computer education. Specifically, as the demand of Cybersecurity education increases, we show that by introducing the desktop environment to the existing flexible network topology, GENI becomes more inclusive in offering cybersecurity education to a wide range of students, ranging from entry level students, who are unfamiliar with command line interface, to the advanced students, who are interested in sophisticated network attacks and preventions. The preliminary student survey result shows that most students have no problem using GUI lab environment.</p>",Yongzhi Wang; Wen-Jung Hsin,Sub,10.1145/3328778.3372585,https://doi.org/10.1145/3328778.3372585,0,https://drive.google.com/open?id=1we_JsX1ulMCh6FcPjIJLPJfl-0bvgNu4
