*Date,*Time Start,*Time End,Tracks,*Session Title,Room/Location,Description,Speakers,Type
3/11/2020,,,Title,Supporter Pre-Symposium Events,,,,
3/11/2020,8:30 AM,5:00 PM,Pre-Symposium,Exploring Uses of Cloud Computing in the Computer Science Curriculum,E141,"<p><b>Sponsored by Google Cloud.</b> </p><p>Cloud computing makes a wide variety of computing resources available to every student. In this workshop, faculty will have the opportunity to get hands-on experience with a variety of cloud technologies, from Infrastructure as a Service launching a Virtual Machine in the cloud to Software as a Service, using pre-trained Machine Learning Models. Participants will have the opportunity to discuss how these can be used in a variety of classes. No previous cloud experience is assumed but there will be some coverage of advanced topics for those who have some cloud experience. The morning of this session will provide general background and the afternoon will do deep dives into serverless computing and using the cloud for machine learning.</p>
<p>Register: <a href=""https://events.withgoogle.com/google-cloud-sigcse-2020/"">https://events.withgoogle.com/google-cloud-sigcse-2020/</a></p><img src=""https://sigcse2020.sigcse.org/images/supporters/200s/google-200.png"" alt=""Google Logo"" width=""200px"">",Marc Cohen; Laurie White; Ryan Matsumoto; Wes Chun,SUPPORTER
3/11/2020,8:30 AM,12:00 PM,Pre-Symposium,NSF Interactive Discussion:  Computer Science Undergraduate Education in 2026 and Beyond ,,"<p><b>Sponsored by the National Science Foundation</b></p><p>By 2026, today's sixth graders will be entering college and our first-year college students will be the assistant professors. The workforce will see (r)evolutionary changes in the workplace at the human?technology frontier. Participants will be asked to think strategically about how we will reach the future we want to live. Content delivery mechanisms and active learning/project-based experiences for undergraduate students have developed and matured at a dramatic pace in recent years. How can we leverage what we already know, working to improve and broaden undergraduate STEM education and computing education in particular? How do we prepare students to solve the wicked societal problems of the future? Will students require problem-solving skills that transcend disciplines? Is interdisciplinarity teachable at the undergraduate computer science level? Which skills/knowledge will employers and graduate schools require in 10/20 years? The National Science Foundation Division of Undergraduate Education is preparing to have a nationwide dialogue with STEM communities and industry partners on this topic. Participants in this highly interactive session will collectively construct a shared vision for the future of computing sciences education, and outline a research agenda for the future. You are invited to register here for the session: <a href=""https://www.surveymonkey.com/r/SIGCSE-NSF-Future-CS-Ed"">https://www.surveymonkey.com/r/SIGCSE-NSF-Future-CS-Ed</a>. </p><img src=""https://sigcse2020.sigcse.org/images/supporters/200s/nsf-200.jpg"" alt=""NSF Logo"" width=""200px"">",Pushpa Ramakrishna; John Jackman; Jack Butler ,SUPPORTER
3/11/2020,1:30 PM,5:00 PM,Pre-Symposium,NSF Merit Review System and Grant Writing ,,"<p><b>Sponsored by the National Science Foundation</b></p><p>What is the NSF merit review process and what does it take to ensure that
reviewers find merit in your NSF proposal? Join us for an inside look as we analyze the NSF
proposal process from solicitation to award or decline. Learn to identify key components, and
address intellectual merit and broader impact. This interactive workshop leads participants
through each component by introducing related issues, engaging participants in group exercises
designed to explore and share their understanding of the issues, and providing guidance on
these issues. Approaches for volunteering to review and the elements of a good review are
covered, along with Helpful Hints and Fatal Flaws. You are invited to register here for the
session: <a href=""https://www.surveymonkey.com/r/SIGCSE-NSF-grants"">https://www.surveymonkey.com/r/SIGCSE-NSF-grants</a>.</p><img src=""https://sigcse2020.sigcse.org/images/supporters/200s/nsf-200.jpg"" alt=""NSF Logo"" width=""200px"">",Sami Rollins; Li Yang; Mark Paule,SUPPORTER
3/11/2020,8:30 AM,7:00 PM,Title,Co-located Events,,,,
3/11/2020,8:30 AM,7:00 PM,Pre-Symposium,RESPECT/RPPforCS,,"<p>The IEEE Conference on Research in Equity and Sustained Participation in Engineering, Computing, and Technology (RESPECT) is the premier venue for research on broadening participation in computing (BPC). Since BPC research is inherently interdisciplinary, RESPECT 2020 includes contributions from computer science education, educational leadership, learning sciences, cognitive or social psychology, social sciences, and related disciplines. </p>

<p>In celebration of our fifth anniversary, the theme of the RESPECT 2020 conference is ""Learning from the past, building for the future,"" and will feature research papers, experience reports, panels, posters, and lightning talks across multiple tracks.</p>

<p>The conference is co-located with the ACM Technical Symposium on Computer Science Education (SIGCSE 2020) as a pre-symposium event on March 10-11 in Portland, OR. RESPECT 2020 is proud to include a joint meeting and track on RPPforCS, a community of awardees for NSF CS for ALL Researcher Practitioner Partnerships (RPP).</p>

<p>As in previous editions of the conference, the RESPECT 2020 proceedings will be submitted for inclusion to IEEE Xplore and will be submitted for cross-indexing in the ACM Digital Library.</p>

<p>For conference details and registration information, visit: <a href=""http://respect2020.stcbp.org/"">http://respect2020.stcbp.org/</a>.</p>",,COLOCATED
3/11/2020,8:30 AM,5:00 PM,Title,All Day Pre-Symposium Events,,,,
3/11/2020,8:30 AM,5:00 PM,Pre-Symposium,Innovation in Undergraduate Data Science Education,C120,"<p>The workshop will allow participants to gain experience with a series of innovations
developed at UC Berkeley that have enabled the teaching of undergraduate data science at
scale to students from all backgrounds. Rather than beginning with established introductory
strategies as the gateway to computer science, students in the ""Foundations of Data Science""
(Data 8) learn computational skills and concepts in relation to real world issues and with
attention to societal implications. By engaging with students' interest in the applications of
computing on data, and integrating societal impact from the start, the program has developed
long term commitment to advance computational skills for large numbers of students.</p>

<p>These innovations in teaching not only convey important computational content, but also
broaden participation beyond existing approaches to computer science, and integrate issues of
human contexts and ethics throughout the full curriculum. Goals include increasing diversity
among students learning computer science, giving students a strong ethical foundations within
their computer science work, and encouraging critical thinking in the application of inference and
statistical techniques. Laptop required.</p><p>More details may be found at: <a href=""https://data.berkeley.edu/academics/resources/data-science-education-workshops"">https://data.berkeley.edu/academics/resources/data-science-education-workshops</a>.</p>",Anthony Suen; Eric Van Dusen; Cathryn Carson; David Culler,ALLDAY
3/11/2020,8:30 AM,5:00 PM,Pre-Symposium,NSF Institute Planning workshop (SIGCSE Pre-symposium event),C125,"<p>Parallel and distributed computing (PDC) is now in widespread use across virtually all of the discipline. Understanding PDC is essential for being able to make use of most computational resources as well as grasping a wide range of cybersecurity risks. Yet undergraduate computer science and engineering education still focuses on the sequential model of computational thinking that was developed around 20th century computing platforms, creating a bias against thinking in terms of parallel and distributed problem solutions. The CDER center has received funding from NSF to gather input from all the stakeholder communities for guiding a major initiative to transform undergraduate curricula to incorporate PDC as a foundational element of computational thinking, akin to the transformation from structured to object-oriented programming. This meeting will use the World Cafe discussion model to maximize the opportunity for participants to brainstorm ideas. Participants must pre-register for the meeting, and commit to reading preparatory materials that are intended to help initiate the discussions from a shared understanding. Walk-in observers are welcome.</p><p>More details may be found at <a href=""http://tcpp.cs.gsu.edu/curriculum/"">http://tcpp.cs.gsu.edu/curriculum/</a>.</p>",Sushil Prasad; Charles Weems; R. Vaidyanathan; Neena Thota,ALLDAY
3/11/2020,8:30 AM,5:00 PM,Pre-Symposium,Computing for Social Good in Education,B110,"<p>Computing for Social Good in Education (CSG-Ed) provides an opportunity for learning technical and professional skills while reinforcing computing's social relevance. This FREE SIGCAS-sponsored pre-symposium event will allow participants to learn how to incorporate CSG-Ed into their classroom in two ways.</p>
<p>The morning will focus on Humanitarian Free and Open Source Software (HFOSS), particularly on development of ""HFOSS kits"". An HFOSS kit provides an isolated environment built with artifacts from an active HFOSS project that can be used to learn and practice software skills. For example, a kit containing a code base, issue tracker, and revision control history could support learning related to version control. HFOSS kits provide the complexity and scale of the real project while allowing students to explore a socially beneficial application. Short presentations will provide the foundation for a breakout session to explore ideas for development of HFOSS kits.</p><p>Details about the morning session may be found at: <a href=""http://foss2serve.org/index.php/SIGCSE_2020_POSSE_Roundup"">http://foss2serve.org/index.php/SIGCSE_2020_POSSE_Roundup</a>.</p>
<p>The afternoon will focus on techniques for incorporating CSG-Ed projects into the introductory computing curricula. Participants will learn how to reframe existing projects or develop new programming projects as CSG-Ed focused assignments, as well as how to utilize open data repositories as both data set source and inspiration for projects ideas.</p><p>Details about the afternoon session may be found at: <a href=""http://www.sigcas.org/csged"">http://www.sigcas.org/csged</a></p>
<p>It is commonly believed that incorporating the social relevance of computing in the curriculum requires significant instructor time and can only be undertaken in the upper division courses. The goal of the afternoon session is to train the attendees on class-proven techniques for introducing CSG-Ed from CS0 onward with little extra effort for the instructor.</p>",Gregory Hislop; Mikey Goldweber; Heidi Ellis; Lori Postner; Lisa Kaczmarczyk; Grant Braught; Rick Blumenthal; Herman Jackson; Darci Burdge; Karl Wurst,ALLDAY
3/11/2020,8:30 AM,5:00 PM,Pre-Symposium,Professional Development Workshop for Teaching-Track Faculty,B113,"<p>Undergraduate enrollment in Computer Science and interest of non-majors taking CS courses continues to increase. To meet the increased course demand, many Ph.D. granting departments have added or are actively recruiting teaching faculty (typically with academic rank) to their faculty. The one-day workshop will focus on the professional development of teaching track faculty (professor of practice, instructor, clinical faculty, lecturer, etc.) in Ph.D. granting departments. The workshop fills a crucial need as many departments have limited experience on how to mentor, evaluate, and promote this new type of faculty. The sessions will focus on how teaching faculty can strategize their involvement in departmental as well as research activities, different forms of scholarship and leadership activities to pursue, and best practices for success, promotion, and advancement. Academic leaders involved in supervising and evaluating teaching track faculty will provide their perspective and insights.</p><p>Apply at <a href=""https://cra.org/crae/professional-development-workshop-for-teaching-track-faculty-at-sigcse-2020/"">https://cra.org/crae/professional-development-workshop-for-teaching-track-faculty-at-sigcse-2020/</a>.</p>",Lori Pollock; Christine Alvarado; Susanne Hambrusch; Geoffrey Herman,ALLDAY
