*Date,*Time Start,*Time End,Tracks,*Session Title,Room/Location,Description,Speakers,Type
3/12/2020,10:45 AM,12:00 PM,Supporter Session,Taking Your Students from GitHub Newbies to Pull Request Masters,E141,"<p><b>Sponsored by GitHub</b></p><p>Teaching your students to use version control and GitHub can be a challenge, particularly when the students are also new to programming.  Mike Zamanksy, GitHub Campus Advisor, will go through a sequence of steps that can be used over the course of one or more classes that will take students from using GitHub to retrieve code all the way to sophisticated team version control.  We start by having students pull code samples from a repo.  From there they move on to basic Git and GitHub use.  We follow this with more advanced concepts such as merges and later pull requests and branches.  All this is done in conjunction with GitHub Classroom.  This process has been successfully used at both the high school and College levels.</p><img src=""https://sigcse2020.sigcse.org/images/supporters/200s/github-education-200.png"" alt=""GitHub Logo"" width=""200px"">",Mike Zamansky,GitHub
3/12/2020,10:45 AM,12:00 PM,Supporter Session,How Google Supports and Uses CS Education Research,D139,"<p><b>Sponsored by Google</b></p><p>Unlike other disciplines, computer science (CS) does not have an extensive body of rigorous research to enable data-based decisions about how CS is best taught and learned.  With post-secondary CS programs operating beyond capacity, and many states mandating CS for all K-12 students, this lack of knowledge is seriously impinging on our capacity to best serve an increasing number of students.  In addition, our postsecondary researcher pipeline continues to demonstrate the lack of diversity common to all aspects of the discipline.  This session focuses on the ways in which Google is both supporting and using research.  Attendees will learn about several programs that provide funding and opportunities to improve teaching and learning and diversify the research pipeline.  They will also gain insight into how Google navigates the challenges of using research to improve program efficacy.</p><img src=""https://sigcse2020.sigcse.org/images/supporters/200s/google-200.png"" alt=""Google Logo"" width=""200px"">",Chris Stephenson; Sepi Moghadam; Sloan Davis; Kyle Jennings,Google
3/12/2020,1:45 PM,3:00 PM,Supporter Session,"Gradescope: One Platform for Paper, Online, and Programming Assignments",D139,"<p><b>Sponsored by Gradescope by Turnitin</b></p><p>Gradescope is a single place for grading paper-based exams, programming projects, and online assignments.  Join this session to hear from current computer science users about their experience and see for yourself what Gradescope looks like in action.</p> <p>Don't miss your opportunity to: <ol><li>Hear from SIGCSE peers about how Gradescope has made an impact.</li><li>Learn how Gradescope's rubric-based grading interface can help you grade your exams and homework, faster, without compromising on quality.</li><li>See how to review your programming projects, in any language, with our autograder platform, review for similarity, and distribute results.</li></ol></p><p>Whether you're grading 20, 200, or 2,000 students, Gradescope can help.  Attend this session to find out more.</p><img src=""https://sigcse2020.sigcse.org/images/supporters/200s/turnitin-200.png"" alt=""Gradescope by Turnitin Logo"" width=""200px"">",Arjun Singh,Gradescope by Turnitin
3/12/2020,1:45 PM,3:00 PM,Supporter Session,Make Code Arcade and TileWorld - The Rules of the Game,E141,"<p><b>Sponsored by Microsoft</b></p><p>A brief introduction to MakeCode Arcade (<a href=""https://arcade.makecode.com"">https://arcade.makecode.com</a>), which enables the creation of retro arcade games with Blocks and JavaScript in the MakeCode web app.  We will then turn our attention to the design of TileWorld, an Arcade application for creating tile-based Arcade games on Arcade compatible devices themselves.  The goal of TileWorld is to focus on the design of the ""rules of the game"", with a visual representation of the rules and automated support for their design, testing, and debugging.</p><img src=""https://sigcse2020.sigcse.org/images/supporters/200s/microsoft-200.jpg"" alt=""Microsoft Logo"" width=""200px"">",Thomas Ball,Microsoft
3/12/2020,3:45 PM,5:00 PM,Supporter Session,"Jump Start Heterogeneous GPU/FPGA Programming Education with Intel oneAPI in Data Science, Artificial Intelligence and More",E141,"<p><b>Sponsored by Intel</b></p><p>Solving the biggest challenges in science, industry and society requires dramatic increases in computing efficiency. Today's applications must be accelerated with heterogeneous hardware to unlock the benefits of current and future hardware with the use of key software enablement tools. We will share resources that address educating the next generation of programmers and researchers and inform attendees on the use of Intel&reg; oneAPI to enable acceleration across a diverse set of hardware such as CPU, GPU, FPGA and ASIC. By the end of the session, attendees will better understand how to integrate oneAPI and its AI, HPC and data science toolkits for teaching. We will also discuss materials available for teaching at the university level and access to cloud systems for teaching and research.</p><img src=""https://sigcse2020.sigcse.org/images/supporters/200s/intel-200.png"" alt=""Intel Logo"" width=""200px"">",Ellick Chan; Henry A Gabb,Intel
3/12/2020,3:45 PM,5:00 PM,Supporter Session,Using CodeLab in the Canvas LMS,D139,"<p><b>Sponsored by Turing's Craft, Inc.</b></p><p>CodeLab is an online, automated, interactive learning tool for students in programming courses. The CodeLab service provides hundreds of very short, focused coding exercises that help students gain mastery over the syntax, semantics and common usage patterns of language constructs and programming ideas. Code submissions for each exercise are automatically checked for correctness and students are given relevant hints in case of incorrect code.</p>
<p>CodeLab now seamlessly integrates with the popular Canvas LMS.  In this session we will show an example Canvas course containing a CodeLab integration, take a quick look at how the Canvas gradebook integrates CodeLab exercises and demo the straightforward process of setting up a CodeLab course in Canvas.  In the second half of the session, we will present several updated tools to help instructors using CodeLab to combat plagiarism in the system.</p><img src=""https://sigcse2020.sigcse.org/images/supporters/200s/turingscraft-200.png"" alt=""Turing's Craft, Inc. Logo"" width=""200px"">",David Arnow,"Turing's Craft, Inc."
3/12/2020,5:30 PM,6:20 PM,Supporter Session,ABET Computing Program Accreditation: Recent Changes and Lessons Learned,D139,"<p><b>Sponsored by ABET</b></p><p>The speakers will describe ABET's recently revised criteria for computing programs including computer science, information technology, information science, and cybersecurity.  ABET made significant changes to the curriculum and student outcomes criteria for computing programs in 2018 based on new and updated guidelines from professional computing organizations such as the ACM.  The speakers will discuss lessons learned from evaluating computing programs under the revised criteria in 2018 and 2019 including the first programs accredited under the new cybersecurity program criteria.  They will also introduce ABET's draft associate cybersecurity program criteria recently developed for 2-year cybersecurity programs.  This session will be of particular interest to computing programs considering initial ABET accreditation or seeking reaccreditation in the next few years.</p><img src=""https://sigcse2020.sigcse.org/images/supporters/200s/abet-200.png"" alt=""ABET Logo"" width=""200px"">","David Gibson; Michael Oudshoorn
",ABET
3/12/2020,6:30 PM,7:20 PM,Supporter Session,Head in the Clouds: 5 Ways to Implement Cloud Computing at Your Institution,E141,"<p><b>Sponsored by AWS Educate</b></p><p>What are the best practices for integrating cloud computing at your campus, across multiple disciplines?  In this session, we will look at different ways institutions have integrated cloud computing resources and services from on-boarding faculty and students to creative projects educators and students are building around the world.  Discover ideas and resources that you can immediately take back to your campus.</p><img src=""https://sigcse2020.sigcse.org/images/supporters/200s/aws-educate-200.png"" alt=""AWS Educate Logo"" width=""200px"">",Grant Irons,AWS
3/13/2020,10:45 AM,12:00 PM,Supporter Session,Integrating Cloud Computing into Computer Science Curriculum with the New Microsoft Skills Platform,D139,"<p><b>Sponsored by Microsoft</b></p><p>It is critical for Computer Science students to acquire the skills they need for the jobs of today, from full-stack development and application development, to data science, and IT Administration.  In this session, we will explore and demo valuable resources, lesson plans, learning modules, certifications, and credits available for Computer Science faculty to help students master cloud-computing skills.  Among the topics covered will be creating virtual labs, developer productivity tools (including GitHub), AI, and other collaboration tools.</p><img src=""https://sigcse2020.sigcse.org/images/supporters/200s/microsoft-200.jpg"" alt=""Microsoft Logo"" width=""200px"">",Bharat Bhat,Microsoft
3/13/2020,10:45 AM,12:00 PM,Supporter Session,National Science Foundation Interdisciplinary and Cross-cutting Funding Opportunities,E141,"<p><b>Sponsored by the National Science Foundation</b></p><p>This workshop will introduce participants to some of the National Science Foundation's cutting research and education programs. Examples include: Artificial Intelligence Research Institutes Program, the Future of Work at the Human-Technology Frontier, Harnessing the Data Revolution: Data Science Corps, Improving Undergraduate STEM Education: Computing in Undergraduate Education, and NSF INCLUDES. After an introduction to the mission and scope of each of these new and emerging funding opportunities, participants will discuss how to re-envision their own research questions through an interdisciplinary lens and write a compelling proposal. </p><img src=""https://sigcse2020.sigcse.org/images/supporters/200s/nsf-200.jpg"" alt=""NSF Logo"" width=""200px"">",Allyson Kennedy; Li Yang,National Science Foundation
